"","seqnames","start","end","0h_1","0h_2","0h_2re","0h_3","0h_3re","0.5h_1","0.5h_2","0.5h_3","1h_1","1h_2","1h_3","3h_1","3h_2","3h_3","24h_1","24h_2","24h_3","76h_1","76h_2","76h_3"
"11","Tb927_01_v5.1",649413,649813,178.167830917432,222.140100649077,211.24634089251,230.120954456352,235.874123664034,262.717154771106,276.010624525976,351.416689694128,749.026756283194,468.253304839445,536.05803561466,1002.84849448737,1183.71999146124,732.914772040417,957.945621858144,633.527370901616,321.118467929317,438.792651420749,430.295541591343,441.549066362742
"12","Tb927_01_v5.1",650800,651200,216.34665182831,261.014618262665,172.247016420047,190.075396205369,269.894429961731,295.556799117495,296.571235382313,390.189459310117,742.711184982324,406.545504976882,640.184416633335,1317.67842001557,1419.7321690478,860.712936072675,785.663928624741,740.049672203657,280.279359638655,653.934754748928,621.152435039116,591.88882890448
"13","Tb927_01_v5.1",657660,658060,972.287305863698,805.257864852904,496.699729739569,595.043154292774,892.088031806282,687.10640478597,647.347717567695,1274.57787102721,2431.49495083499,1457.39303793052,3044.08975620028,4602.65993564879,5334.97294451466,3835.48465788378,2801.06270205342,3864.23664065432,848.110796830739,3876.20433623482,3740.79511157635,3369.0312141243
"14","Tb927_01_v5.1",762656,763056,1831.31077635846,979.267610361348,996.649403185176,635.652734490953,1599.71040279838,481.227095998998,676.63101181763,1398.28146932585,3007.47505347434,2375.75029470866,3787.11504297551,4650.26836341159,4897.71007286205,4485.25363645743,3136.71496645643,4556.6315991176,844.194717953553,4189.80130040809,4149.11319271007,4453.37154867731
"15","Tb927_01_v5.1",816690,817090,1910.21367290761,1500.37126313397,867.193312227971,1097.02268729805,1487.06538861268,1136.33589860131,1175.69311169417,2541.77045260376,4972.88084230512,2867.59775831908,4989.06771275899,8096.50423114461,9070.91764708631,6479.21294274386,4699.13170164212,6031.12450661428,1484.75333429339,6657.25028208156,6546.96979948119,5743.68919568908
"16","Tb927_02_v5.1",1001900,1002300,153.987911007209,147.167816680013,111.581400573993,118.444608911358,190.513715267104,186.512339044231,188.783790590002,254.177045260376,563.348960037613,257.720811190702,350.944469359238,901.488616024637,958.68512446011,500.414497716671,647.541536635892,598.487140210155,177.9018689922,499.567256880686,520.518800312109,414.322180233136
"17","Tb927_02_v5.1",1030063,1030463,1249.72007114941,690.485479517548,652.697027629422,342.925343895741,1174.83457748048,307.766410477049,411.835265940565,824.690655324222,1994.45741681478,2308.59768897587,1798.4297166065,2902.57833779653,3188.90872506483,2221.84036986202,2122.33223819424,2370.12120397043,481.118262054377,2379.93354981115,2305.31993116007,2644.55928754522
"18","Tb927_02_v5.1",114081,114481,4949.24781741351,2489.82029477507,2813.36793486076,1800.92207739984,4243.46620553277,1119.07403426539,1706.53070107596,2941.80696451476,7759.31090024901,8136.35490540787,9890.72068589735,10742.6113613157,11639.6083240749,11851.3550428468,7415.53874408947,11284.3558918781,2031.88549742035,8768.56007575979,8341.02459789025,9525.85881238871
"19","Tb927_02_v5.1",125318,125718,972.287305863698,604.40619051603,788.111348714365,395.379384985056,1027.41325019046,532.5916679254,679.746255886771,802.534786972228,1594.05019633961,1352.12679110615,1816.42686888133,2142.37924932601,2471.72443348399,2149.47273480761,1106.46432292142,1949.63843567289,458.181228630855,1402.67789401536,1447.04226486766,1424.08452234418
"20","Tb927_02_v5.1",159403,159803,3782.24852490433,2135.32171748925,2980.19837843741,1407.23475825637,3849.58665928609,2044.89939218472,2730.199902196,3232.91045702846,6425.46224150524,5001.96165944771,6788.78294024226,8587.94606611545,9526.47603638129,8487.02988127475,4978.34685964108,7752.30063817884,1732.58518323536,4923.95853436414,4912.54076650117,5653.7220936956
"21","Tb927_02_v5.1",164668,165068,2024.75013564024,982.969945372166,1531.26514282853,719.692004623298,1744.86370966856,439.124987862602,775.072724402515,913.314128732198,2099.29590040922,2468.3119945025,2829.40943977906,3103.76233898772,3247.45438152041,3304.27542184608,2054.01363570514,2220.14901661097,610.348865001541,844.767015893132,810.852620041751,1009.76234211104
"22","Tb927_02_v5.1",258519,258919,617.224271392531,523.88040403074,647.822112070364,464.190062543083,770.370935941188,375.550804576646,718.99833115796,681.908392611372,1114.06677747349,876.613745106402,1038.6927884332,2507.88911408557,2683.95243813546,1433.49506884376,1403.50172504798,1225.00646497348,492.866498685938,1101.23585093407,1202.97678294354,1163.65343762621
"23","Tb927_02_v5.1",313168,313568,1823.67501217628,1214.36588354829,891.567890023261,852.801184161776,1581.56623943961,823.938256229255,949.526392274464,2125.73248021632,4236.48522862366,2586.2827883574,4666.40448268877,6645.21506224635,7471.8894051433,5838.68238566652,3475.33760488071,5417.21966489988,1081.95664978275,5977.79019303945,5946.63811645455,5561.3874363865
